0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Bluechili;Midtown West;251 W 51st St;New York;NY;Asian;$$;;Bluechili; 251 W 51st St-between Broadway and Eighth Ave;New York;Midtown West;Asian: Pan-Asian;(212-246-3330);
Bobo;West Village;;;;;;;Bobo; 181 W 10th St-at Seventh Ave South;New York;West Village;Eclectic;(212-488-2626);
Boca Chica;East Village;13 First Avenue;New York;NY;South American;$;;Boca Chica; 13 First Ave-at 1st St;New York;East Village;Latin American;(212-473-0108);
Boi;Midtown East;246 East 44th Street;New York;NY;Vietnamese;$$;;Boi; 246 E 44th St-between Second and Third Aves;New York;Midtown East;Vietnamese;(212-681-6541);
Bombay Palace;Midtown West;30 W 52nd St;New York;NY;Indian;$$;;Bombay Palace; 30 W 52nd St-between Fifth and Sixth Aves;New York;Midtown West;Indian;(212-541-7777);
Bombay Talkie;Chelsea;189 Ninth Ave;New York;NY;Indian;$$;;Bombay Talkie; 189 Ninth Ave-between 21st and 22nd Sts;New York;Chelsea;Indian;(212-242-1900);
Bond 45;Midtown West;154 W 45th St;New York;NY;Italian;$$$;;Bond 45; 154 W 45th St-between Sixth and Seventh Aves;New York;Midtown West;Italian;(212-869-4545);
Bondi Road;Lower East Side;;;;;;;Bondi Road; 153 Rivington St-between Clinton and Suffolk Sts;New York;Lower East Side;Australian & New Zealand;(212-253-5311);
Boom;Soho;;;;;;;Boom; 152 Spring St-between West Broadway and Wooster St;New York;Soho;Italian;(212-431-3663);
Boqueria;Soho;;;;;;;Boqueria; 171 Spring St-between West Broadway and Thompson St;New York;Soho;Spanish;(212-343-4255);
Bottino;Chelsea;246 10th Ave;New York;NY;Italian;$$$;;Bottino; 246 Tenth Ave-between 24th and 25th Sts;New York;Chelsea;Italian;(212-206-6766);
Bouley;Tribeca;;;;;;;Bouley; 163 Duane St-at Hudson St;New York;Tribeca;French;(212-964-2525);
Brasserie;Midtown East;100 East 53rd St;New York;NY;French;$$$;;Brasserie; 100 E 53rd St-between Park and Lexington Aves;New York;Midtown East;French;(212-751-4840);
Brasserie 8 1/2;Midtown West;9 W 57th St;New York;NY;French;$$$$;;Brasserie 8 1/2; 9 W 57th St-between Fifth and Sixth Aves;New York;Midtown West;French;(212-829-0812);
Brasserie Julien;Upper East Side;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;French;$$;;Brasserie Julien; 1422 Third Ave-between 80th and 81st Sts;New York;Upper East Side;French;(212-744-6327);
Bridge Cafe;Financial District;279 Water St;New York;NY;American;$$$;;Bridge Cafe; 279 Water St-at Dover St;New York;Financial District;American;(212-227-3344);
Broadway East;Lower East Side;171 East Broadway;New York;NY;American;$$$;;Broadway East; 171 East Broadway-between Jefferson and Rutgers Sts;New York;Lower East Side;Vegetarian & Organic;(212-228-3100);
Buddha BBeeQ;Upper East Side;1750 Second Ave.;New York;NY;Korean;$;;Buddha BBeeQ; 1750 Second Ave-between 91st and 92nd Sts;New York;Upper East Side;Korean;(212-348-7041);
Buddha Bar;Meatpacking District;25 Little West 12th Street;New York;NY;Asian;$$$$;;Buddha Bar; 25 Little W 12th St-between Ninth Ave and Washington St;New York;Meatpacking District;Asian: Pan-Asian;(212-647-7314);
Buenos Aires;East Village;513 E Sixth St;New York;NY;Argentinean;$$;;Buenos Aires; 513 E 6th St-between Aves A and B;New York;East Village;Argentine;(212-228-2775);
Burger Joint;Midtown West;;;;;;;Burger Joint;Le Parker Meridien Hotel -119 W 56th Stbetween Sixth and Seventh Aves;New York;Midtown West;American;(212-245-5000);
Butter;East Village;415 Lafayette St;New York;NY;American;$$$;;Butter; 415 Lafayette St-between Astor Pl and E 4th St;New York;East Village;American;(212-253-2828);
Cafe Asean;West Village;;;;;;;Cafe Asean; 117 W 10th St-between Sixth and Greenwich Aves;New York;West Village;Asian: Pan-Asian;(212-633-0348);
Cafe Frida;Upper West Side;368 Columbus Ave;New York;NY;Mexican;$$;;Cafe Frida; 368 Columbus Ave-between 77th and 78th Sts;New York;Upper West Side;Mexican;(212-712-2929);
Cafe Ronda;Upper West Side;249-251 Columbus Ave;New York;NY;Mediterranean;$$;;Cafe Ronda; 249 Columbus Ave-between 71st and 72nd Sts;New York;Upper West Side;Argentine;(212-579-9929);
Cafeteria;Chelsea;119 Seventh Avenue;New York;NY;American;$;;Cafeteria; 119 Seventh Ave-at 17th St;New York;Chelsea;American;(212-414-1717);
Café Boulud;Upper East Side;20 East 76th St;New York;NY;French;$$$$;;Café Boulud; 20 E 76th St-between Fifth and Madison Aves;New York;Upper East Side;French;(212-772-2600);
Café Sabarsky;Upper East Side;1048 Fifth Ave;New York;NY;Austrian;$$;;Café Sabarsky;Neue Galerie New York -1048 Fifth Aveat 86th St;New York;Upper East Side;Austrian;(212-288-0665);
Calle Ocho;Upper West Side;446 Columbus Avenue;New York;NY;Cuban;$$;;Calle Ocho; 446 Columbus Ave-between 81st and 82nd Sts;New York;Upper West Side;Caribbean;(212-873-5025);
Camaje;Greenwich Village;85 Macdougal St;New York;NY;American;$$;;Camaje; 85 MacDougal St-between Bleecker and Houston Sts;New York;Greenwich Village;French;(212-673-8184);
Campagnola;Upper East Side;1382 First Ave;New York;NY;Italian;$$$$;;Campagnola; 1382 First Ave-between 73rd and 74th Sts;New York;Upper East Side;Italian;(212-861-1102);
Candle 79;Upper East Side;154 E 79 St;New York;NY;Vegetarian;$$;;Candle 79; 154 E. 79th St-at Lexington Ave;New York;Upper East Side;Vegetarian & Organic;(212-537-7179);
Canyon Road;Upper East Side;1470 First Avenue;New York;NY;Southwestern;$$;;Canyon Road; 1470 First Ave-between 76th and 77th Sts;New York;Upper East Side;American Regional;(212-734-1600);
Capital Grille;Midtown East;155 E 42nd St;New York;NY;Steakhouse;$$$$;;Capital Grille; 155 E 42nd St-between Lexington and Third Aves;New York;Midtown East;Steakhouses;(212-953-2000);
Caracas Arepa Bar;East Village;91 East 7th St;New York;NY;South American;$;;Caracas Arepa Bar; 91 E 7th St-between First Ave and Ave A;New York;East Village;Latin American: Venezuelan;(212-228-5062);
Carnegie Deli;Midtown West;854 7th Ave;New York;NY;Deli;$;;Carnegie Deli; 854 Seventh Ave-at 55th St;New York;Midtown West;American;(212-757-2245);
Casa;West Village;72 Bedford St;New York;NY;South American;$$;;Casa; 72 Bedford St-at Commerce St;New York;West Village;Brazilian;(212-366-9410);
Casimir;East Village;103-105 Ave B;New York;NY;French;$$;;Casimir; 103–105 Ave B-between 6th and 7th Sts;New York;East Village;French;(212-358-9683);
Celeste;Upper West Side;502 Amsterdam Ave;New York;NY;Italian;$$;;Celeste; 502 Amsterdam Ave-between 84th and 85th Sts;New York;Upper West Side;Italian;(212-874-4559);
Cendrillon;Soho;;;;;;;Cendrillon; 45 Mercer St-between Broome and Grand Sts;New York;Soho;Asian: Filipino;(212-343-9012);
Cercle Rouge;Tribeca;;;;;;;Cercle Rouge; 241 West Broadway-between Beach and White Sts;New York;Tribeca;French;(212-226-6252);
Chanterelle;Tribeca;;;;;;;Chanterelle; 2 Harrison St-at Hudson St;New York;Tribeca;French;(212-966-6960);
Chez Jacqueline;Greenwich Village;72 Macdougal St;New York;NY;French;$$$;;Chez Jacqueline; 72 MacDougal St-between Bleecker and Houston Sts;New York;Greenwich Village;French;(212-505-0727);
Chikalicious Dessert Bar;East Village;203 E 10th St;New York;NY;American;$;;Chikalicious Dessert Bar;203 E 10th St.;New York;East Village;;;
Chimichurri Grill;Midtown West;606 9th Avenue;New York;NY;South American;$$$;;Chimichurri Grill; 606 Ninth Ave-between 43rd and 44th Sts;New York;Midtown West;Argentine;(212-586-8655);
Chin Chin;Midtown East;216 E 49th St;New York;NY;Chinese;$$$;;Chin Chin; 216 E 49th St-between Second and Third Aves;New York;Midtown East;Chinese;(212-888-4555);
China Grill;Midtown West;60 W 53rd St;New York;NY;Asian;$$$$;;China Grill; 60 W 53rd St-between Fifth and Sixth Aves;New York;Midtown West;Asian: Pan-Asian;(212-333-7788);
Chiyono;East Village;;;;;;;Chiyono; 328 E Sixth Street-between 1st and 2nd Aves;New York;East Village;Japanese;(212-673-3984);
Cho Dang Gol;Midtown West;55 W 35th St;New York;NY;Korean;$;;Cho Dang Gol; 55 W 35th St-between Fifth and Sixth Aves;New York;Midtown West;Korean;(212-695-8222);
Chola;Midtown East;232 E 58th St;New York;NY;Indian;$$;;Chola; 232 E 58th St-between Second and Third Aves;New York;Midtown East;Indian;(212-688-4619);
Chow Bar;West Village;230 W Fourth St;New York;NY;Asian;$$;;Chow Bar; 230 W 4th St-at 10th St;New York;West Village;Asian: Pan-Asian;(212-633-2212);
Circus;Upper East Side;132 E 61st St;New York;NY;South American;$$$;;Circus; 132 E 61st St-between Lexington and Park Aves;New York;Upper East Side;Brazilian;(212-223-2965);
City Burger;Midtown West;1410 Broadway;New York;NY;American;$$;;City Burger; 1410 Broadway-at 39th St;New York;Midtown West;American;(212-997-7770);
Colors;East Village;417 Lafayette St;New York;NY;International;$$$;;Colors; 417 Lafayette St-between Astor Pl and E 4th St;New York;East Village;Eclectic;(212-777-8443);
Compass;Upper West Side;208 W 70th Street;New York;NY;American;$$$;;Compass; 208 W 70th St-between Amsterdam and West End Aves;New York;Upper West Side;American Creative;(212-875-8600);
Convivio;Midtown East;45 Tudor City Pl;New York;NY;Italian;$$$$$;;Convivio; 45 Tudor City Pl-at 43rd St;New York;Midtown East;Italian;(212-599-5045);
Cookshop;Chelsea;156 10th Ave;New York;NY;American;$$$$;;Cookshop; 156 Tenth Ave-at 20th St;New York;Chelsea;American;(212-924-4440);
Corner Bistro;West Village;331 W 4th St;New York;NY;American;$;;Corner Bistro; 331 W 4th St-at Jane St;New York;West Village;American;(212-242-9502);
Cosette;Midtown East;163 E 33rd St btwn Lexington and Third...;;;;;;Cosette; 163 E 33rd St-between Lexington and Third Aves;New York;Midtown East;French;(212-889-5489);
Counter;East Village;105 First Ave;New York;NY;Vegetarian;$$;;Counter; 105 First Ave-between 6th and 7th Sts;New York;East Village;Vegetarian & Organic;(212-982-5870);
Country;Gramercy / Flatiron;;;;;;;Country;Carlton Hotel -90 Madison Aveat 29th St;New York;Gramercy/Flatiron;American Creative;(212-889-7100);
Cowgirl;West Village;519 Hudson Street;New York;NY;Southwestern;$;;Cowgirl; 519 Hudson St-at 10th St;New York;West Village;American Regional;(212-633-1133);
Craft;Gramercy / Flatiron;;;;;;;Craft; 43 E 19th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American;(212-780-0880);
Craftbar;Gramercy / Flatiron;;;;;;;Craftbar; 900 Broadway-between 19th and 20th Sts;New York;Gramercy/Flatiron;American Creative;(212-461-4300);
Crispo;West Village;240 W 14th St;New York;NY;Italian;$$$;;Crispo; 240 W 14th St-between Seventh and Eighth Aves;New York;West Village;Italian;(212-229-1818);
Cru;Greenwich Village;24 Fifth Ave;New York;NY;Mediterranean;$$$$;;Cru; 24 Fifth Ave-at 9th St;New York;Greenwich Village;American Creative;(212-529-1700);
Cuba;Greenwich Village;222 Thompson Street;New York;NY;Cuban;$$;;Cuba; 222 Thompson St-between Bleecker and W 4th St;New York;Greenwich Village;Caribbean: Cuban;(212-420-7878);
Cuba Cafe;Chelsea;200 Eighth Ave;New York;NY;Cuban;$;;Cuba Cafe; 200 Eighth Ave-between 20th and 21st Sts;New York;Chelsea;Caribbean: Cuban;(212-633-1570);
Cube 63;Lower East Side;63 Clinton St;New York;NY;Japanese;$$;;Cube 63; 63 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Japanese;(212-228-6751);
Da Silvano;Greenwich Village;260 6th Avenue;New York;NY;Italian;$$$;;Da Silvano; 260 Sixth Ave-between Bleecker and Houston Sts;New York;Greenwich Village;Italian;(212-982-2343);
Danal;East Village;90 E 10th St;New York;NY;French;$$;;Danal; 90 E 10th St-between Third and Fourth Aves;New York;East Village;French;(212-982-6930);
Daniel;Upper East Side;60 E 65th St;New York;NY;French;$$$$$;;Daniel; 60 E 65th St-between Madison and Park Aves;New York;Upper East Side;French;(212-288-0033);
Dawat;Midtown East;210 E 58th St;New York;NY;Indian;$$$;;Dawat; 210 E 58th St-between Second and Third Aves;New York;Midtown East;Indian;(212-355-7555);
Degustation;East Village;239 E Fifth St;New York;NY;Spanish;$$$;;Degustation; 239 E 5th St-between Second and Third Aves;New York;East Village;Spanish;(212-979-1012);
Del Posto;Chelsea;85 10th Ave;New York;NY;Italian;$$$$$;;Del Posto; 85 Tenth Ave-between 15th and 16th Sts;New York;Chelsea;Italian;(212-497-8090);
Delta Grill;Midtown West;700 Ninth Ave;New York;NY;Creole-Cajun;$$;;Delta Grill; 700 Ninth Ave-at 48th St;New York;Midtown West;American Regional;(212-956-0934);
Demarchelier;Upper East Side;;;;;;;Demarchelier; 50 E 86th St-between Madison and Park Aves;New York;Upper East Side;French;(212-249-6300);
Desnuda;East Village;122 E 7th St;New York;NY;Seafood;$$$;;Desnuda; 122 E 7th St-between First Ave and Ave A;New York;East Village;Eclectic;(212-254-3515);
Ditch Plains;West Village;;;;;;;Ditch Plains; 29 Bedford St-at Downing St;New York;West Village;Seafood;(212-633-0202);
Do Hwa;West Village;;;;;;;Do Hwa; 55 Carmine St-at Bedford St;New York;West Village;Korean;(212-414-1224);
Donguri;Upper East Side;309 E 83rd St;New York;NY;Japanese;$$$;;Donguri; 309 E 83rd St-between First and Second Aves;New York;Upper East Side;Japanese;(212-737-5656);
Dylan Prime;Tribeca;;;;;;;Dylan Prime; 62 Laight St-between Greenwich and Hudson Sts;New York;Tribeca;Steakhouses;(212-334-4783);
Eatery;Midtown West;798 9th Ave;New York;NY;American;$;;Eatery; 798 Ninth Ave-at 53rd St;New York;Midtown West;Eclectic;(212-765-7080);
El Parador Cafe;Midtown East;;;;;;;El Parador Cafe; 325 E 34th St-between First and Second Aves;New York;Midtown East;Mexican;(212-679-6812);
El Quijote;Chelsea;226 W 23rd St;New York;NY;Spanish;$$;;El Quijote; 226 W 23rd St-between Seventh and Eighth Aves;New York;Chelsea;Spanish;(212-929-1855);
Eleven Madison Park;Gramercy / Flatiron;;;;;;;Eleven Madison Park; 11 Madison Ave-at 24th St;New York;Gramercy/Flatiron;American Creative;(212-889-0905);
Elmo;Chelsea;156 Seventh Ave;New York;NY;American;$$;;Elmo; 156 Seventh Ave-between 19th and 20th Sts;New York;Chelsea;American;(212-337-8000);
Employees Only;West Village;510 Hudson St;New York;NY;European;$$$;;Employees Only; 510 Hudson St-between Christopher and W 10th Sts;New York;West Village;American Creative;(212-242-3021);
Erminia;Upper East Side;250 E 83rd St;New York;NY;Italian;$$$;;Erminia; 250 E 83rd St-between Second and Third Aves;New York;Upper East Side;Italian;(212-879-4284);
Esca;Midtown West;402 W 43rd St;New York;NY;Italian;$$$$;;Esca; 402 W 43rd St-at Ninth Ave;New York;Midtown West;Italian;(212-564-7272);
Esperanto;East Village;145 Ave C;New York;NY;Nuevo Latino;$$;;Esperanto; 145 Ave C-at 9th St;New York;East Village;Latin American;(212-505-6559);
Essex;Lower East Side;120 Essex St;New York;NY;American;$;;Essex; 120 Essex St-at Rivington St;New York;Lower East Side;Eclectic;(212-533-9616);
Estancia 460;Tribeca;;;;;;;Estancia 460; 460 Greenwich St-between Desbrosses and Watts Sts;New York;Tribeca;Argentine;(212-431-5093);
Estiatorio Milos;Midtown West;125 West 55th Street;New York;NY;Greek;$$$$;;Estiatorio Milos; 125 W 55th St-between Sixth and Seventh Aves;New York;Midtown West;Greek;(212-245-7400);
Etats-Unis;Upper East Side;242 E 81st St;New York;NY;American;$$$;;Etats-Unis; 242 E 81st St-between Second and Third Aves;New York;Upper East Side;American Creative;(212-517-8826);
Etcetera Etcetera;Midtown West;;;;;;;Etcetera Etcetera; 352 W 44th St-between Eighth and Ninth Aves;New York;Midtown West;Mediterranean;(212-399-4141);
Ethiopian Restaurant;Upper East Side;The, 1582 York Ave;New York;NY;African;$;;Ethiopian Restaurant; 1582 York Ave-between 83rd and 84th Sts;New York;Upper East Side;African: Ethiopian;(212-717-7311);
Extra Virgin;West Village;259 W 4th St;New York;NY;Mediterranean;$$;;Extra Virgin; 259 W 4th St-between Charles and Perry Sts;New York;West Village;Mediterranean;(212-691-9359);
Falai;Lower East Side;68 Clinton St;New York;NY;Italian;$$$;;Falai; 68 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Cafés & diners;(212-253-1960);
Fatty Crab;Meatpacking District;643 Hudson Street;New York;NY;Indonesian;$$;;Fatty Crab; 643 Hudson St-between Gansevoort and Horatio St;New York;Meatpacking District;Asian: Pan-Asian;(212-352-3590);
Felidia;Midtown East;243 East 58th Street;New York;NY;Italian;$$$$;;Felidia; 243 E 58th St-between Second and Third Aves;New York;Midtown East;Italian;(212-758-1479);
Film Center Cafe;Midtown West;635 9th Avenue;New York;NY;American;$$;;Film Center Cafe; 635 Ninth Ave-between 44th and 45th Sts;New York;Midtown West;American;(212-262-2525);
Fish;West Village;;;;;;;Fish; 280 Bleecker St-at Jones St;New York;West Village;Seafood;(212-727-2879);
Five Points;East Village;;;;;;;Five Points; 31 Great Jones St-between Bowery and Lafayette St;New York;East Village;American;(212-253-5700);
French Roast;Upper West Side;2340 Broadway;New York;NY;Breakfast;$;;French Roast; 2340 Broadway-at 85th St;New York;Upper West Side;Cafés;(212-799-1533);
Fresco by Scotto;Midtown East;34 E 52nd St;New York;NY;Italian;$$$;;Fresco by Scotto; 34 E 52nd St-between Madison and Park Aves;New York;Midtown East;Italian;(212-935-3434);
Gari;Upper West Side;370 Columbus Ave;New York;NY;Sushi;$$$$$;;Gari; 370 Columbus Ave-between 77th and 78th Sts;New York;Upper West Side;Japanese;(212-362-4816);
Gascogne;Chelsea;158 8th Avenue;New York;NY;French;$$$;;Gascogne; 158 Eighth Ave-between 17th and 18th Sts;New York;Chelsea;French;(212-675-6564);
Gavroche;West Village;212 W 14th St;New York;NY;French;$$$;;Gavroche; 212 W 14th St-between Seventh and Eighth Aves;New York;West Village;French;(212-647-8553);
Geisha;Upper East Side;33 E 61st St;New York;NY;Japanese;$$$$;;Geisha; 33 E 61st St-between Madison and Park Aves;New York;Upper East Side;Asian: Pan-Asian;(212-813-1112);
Gennaro;Upper West Side;665 Amsterdam Ave;New York;NY;Italian;$$;;Gennaro; 665 Amsterdam Ave-between 92nd and 93rd Sts;New York;Upper West Side;Italian;(212-665-5348);
Gobo;Upper East Side;;;;;;;Gobo; 1426 Third Ave-at 81st St;New York;Upper East Side;Vegetarian & Organic;(212-288-4686);
Good;West Village;89 Greenwich St;New York;NY;American;$$;;Good; 89 Greenwich Ave-between Bank and W 12th Sts;New York;West Village;American;(212-691-8080);
Gramercy Tavern;Gramercy / Flatiron;;;;;;;Gramercy Tavern; 42 E 20th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American Creative;(212-477-0777);
Greenwich Grill;Tribeca;;;;;;;Greenwich Grill; 428 Greenwich St-between Vestry and Laight Sts;New York;Tribeca;Eclectic;(212-274-0428);
Hallo Berlin;Midtown West;;;;;;;Hallo Berlin; 626 Tenth Ave-at 44th St;New York;Midtown West;German;(212-977-1944);
Hasaki;East Village;210 E Ninth St;New York;NY;Sushi;$$;;Hasaki; 210 E 9th St-between Second and Third Aves;New York;East Village;Japanese;(212-473-3327);
Hatsuhana;Midtown East;237 Park Ave;New York;NY;Sushi;$$$$;;Hatsuhana; 17 E 48th St-between Fifth and Madison Aves;New York;Midtown East;Japanese;(212-355-3345);
Havana Central;Midtown West;151 W 46th Street;New York;NY;Cuban;$$;;Havana Central; 151 W 46th St-between Sixth and Seventh Aves;New York;Midtown West;Caribbean: Cuban;(212-398-7440);
Haveli;East Village;100 Second Ave;New York;NY;Indian;$$;;Haveli; 100 Second Ave-between 5th and 6th Sts;New York;East Village;Indian;(212-982-0533);
Hea;East Village;145 E. 13th St.;New York;NY;Pan-Asian;$$$;;Hea; 145 E 13th St-at Third Ave;New York;East Village;Japanese;(212-982-1688);
Hearth;East Village;403 E 12th St;New York;NY;American;$$$$;;Hearth; 403 E 12th St-at First Ave;New York;East Village;American;(646-602-1300);
Heidelberg;Upper East Side;1648 2nd Ave;New York;NY;German;$$;;Heidelberg; 1648 Second Ave-between 85th and 86th Sts;New York;Upper East Side;German;(212-628-2332);
Highline;Meatpacking District;835 Washington St;New York;NY;Asian;$$;;Highline; 835 Washington St-at Little West 12th St;New York;Meatpacking District;Thai;(212-243-3339);
Hill Country;Chelsea;30 W. 26th St.;New York;NY;Barbecue;$$;;Hill Country; 30 W 26th St-between Broadway and Sixth Ave;New York;Chelsea;Barbeque;(212-255-4544);
Holy Basil;East Village;149 Second Ave;New York;NY;Asian;$;;Holy Basil;149 Second Ave -between 9th and 10th Stssecond floor;New York;East Village;Thai;(212-460-5557);
Hudson Cafeteria;Midtown West;356 West 58th Street;New York;NY;American;$$$;;Hudson Cafeteria;Hudson Hotel -356 W 58th Stbetween Eighth and Ninth Aves;New York;Midtown West;American;(212-554-6500);
I Coppi;East Village;432 E Ninth St;New York;NY;Italian;$$$;;I Coppi; 432 E 9th St-between First Ave and Ave A;New York;East Village;Italian;(212-254-2263);
I Sodi;West Village;;;;;;;I Sodi; 105 Christopher St-between Bleecker and Hudson Sts;New York;West Village;Italian;(212-414-5774);
I Tre Merli;Soho;;;;;;;I Tre Merli; 463 West Broadway-between Houston and Prince Sts;New York;Soho;Italian;(212-254-8699);
Icon;Midtown East;130 E 39th Street;New York;NY;American;$$$;;Icon;W Court Hotel -130 E 39th Stbetween Park and Lexington Aves;New York;Midtown East;American;(212-592-8888);
Ideya;Soho;;;;;;;Ideya; 349 West Broadway-between Broome and Grand Sts;New York;Soho;Latin American;(212-625-1441);
Il Bagatto;East Village;192 E Second St;New York;NY;Italian;$$;;Il Bagatto; 192 E 2nd St-between Aves A and B;New York;East Village;Italian;(212-228-0977);
Il Bastardo;Chelsea;191 Seventh Ave;New York;NY;Steakhouse;$$$;;Il Bastardo; 161 Seventh Ave 21st St-;New York;Chelsea;Italian;(212-675-5980);
Il Cantinori;Greenwich Village;32 East 10th St;New York;NY;Italian;$$$$;;Il Cantinori; 32 E 10th St-between University Pl and Broadway;New York;Greenwich Village;Italian;(212-673-6044);
Il Gattopardo;Midtown West;33 W 54th St;New York;NY;Italian;$$$;;Il Gattopardo; 33 W 54th St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-246-0412);
Il Mulino;Greenwich Village;86 W 3rd St;New York;NY;Italian;$$$$;;Il Mulino; 86 W 3rd St-between Sullivan and Thompson Sts;New York;Greenwich Village;Italian;(212-673-3783);
Il Valentino;Midtown East;330 East 56th Street;New York;NY;Italian;$$$;;Il Valentino;Sutton Hotel -330 E 56th Stbetween First and Second Aves;New York;Midtown East;Italian;(212-355-0001);
Inagiku;Midtown East;111 East 49th Street;New York;NY;Sushi;$$$$;;Inagiku;The Waldorf-Astoria -111 E 49th Stbetween Park and Lexington Aves;New York;Midtown East;Japanese;(212-355-0440);
Indochine;Greenwich Village;;;;;;;Indochine; 430 Lafayette St-between Astor Pl and E 4th St;New York;Greenwich Village;Vietnamese;(212-505-5111);
Indus Valley;Upper West Side;2636 Broadway;New York;NY;Indian;$$;;Indus Valley; 2636 Broadway-at 100th St;New York;Upper West Side;Indian;(212-222-9222);
Industria Argentina;Tribeca;;;;;;;Industria Argentina; 329 Greenwich St-between Duane and Jay Sts;New York;Tribeca;Argentine;(212-965-8560);
Insieme;Midtown West;777 Seventh Avenue;New York;NY;Italian;$$$$;;Insieme;Michelangelo Hotel -777 Seventh Aveat 51st St;New York;Midtown West;Italian;(212-582-1310);
Ithaka;Upper East Side;308 E 86th St;New York;NY;Greek;$$$;;Ithaka; 308 E 86th St-between First and Second Aves;New York;Upper East Side;Greek;(212-628-9100);
Ivo & Lulu;Soho;;;;;;;Ivo & Lulu; 558 Broome St-at Varick St;New York;Soho;French;(212-226-4399);
Jane;Greenwich Village;100 W Houston St;New York;NY;American;$$$;;Jane; 100 W Houston St-between La Guardia Pl and Thompson St;New York;Greenwich Village;American;(212-254-7000);
Japonica;Greenwich Village;100 University Pl;New York;NY;Sushi;$$$;;Japonica; 100 University Pl-at 12th St;New York;Greenwich Village;Japanese;(212-243-7752);
Jean Georges;Upper West Side;1 Central Park W;New York;NY;French;$$$$$;;Jean Georges;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;New York;Upper West Side;French;(212-299-3900);
JoJo;Upper East Side;160 E 64th St;New York;NY;French;$$$$;;JoJo; 160 E 64th St-between Lexington and Third Aves;New York;Upper East Side;French;(212-223-5656);
Jules;East Village;65 St Marks Pl;New York;NY;French;$$;;Jules; 65 St Marks Pl-between First and Second Aves;New York;East Village;French;(212-477-5560);
Kai;Upper East Side;822 Madison Ave;New York;NY;Japanese;$$$$;;Kai; 822 Madison Ave-between 68th and 69th Sts;New York;Upper East Side;Japanese;(212-988-7277);
Kanoyama;East Village;175 Second Ave;New York;NY;Sushi;$$;;Kanoyama; 175 Second Ave-at 11th St;New York;East Village;Japanese;(212-777-5266);
Keens Steakhouse;Midtown West;72 W 36th St;New York;NY;Steakhouse;$$$;;Keens Steakhouse; 72 W 36th St-between Fifth and Sixth Aves;New York;Midtown West;Steakhouses;(212-947-3636);
Kefi;Upper West Side;222 W. 79th St.;New York;NY;Greek;$$$;;Kefi; 505 Columbus Ave-between 84th and 85th Sts;New York;Upper West Side;Greek;(212-873-0200);
Kittichai;Soho;;;;;;;Kittichai;60 Thompson Hotel -60 Thompson Stbetween Broome and Spring Sts;New York;Soho;Thai;(212-219-2000);
Klee Brasserie;Chelsea;200 9th Avenue;New York;NY;American;$$$;;Klee Brasserie; 200 Ninth Ave-between 22nd and 23rd Sts;New York;Chelsea;Eclectic;(212-633-8033);
Klong;East Village;7 St Marks Pl;New York;NY;Asian;$;;Klong; 7 St. Marks Pl-between Second and Third Aves;New York;East Village;Thai;(212-505-9955);
Koi;Midtown West;40 W 40th St;New York;NY;Asian;$$$$;;Koi;Bryant Park Hotel -40 W 40th Stbetween Fifth and Sixth Aves;New York;Midtown West;Japanese;(212-642-2100);
Kori;Tribeca;;;;;;;Kori; 253 Church St-between Franklin and Leonard Sts;New York;Tribeca;Korean;(212-334-0908);
Kum Gang San;Midtown West;49 W 32nd St;New York;NY;Korean;$$;;Kum Gang San; 49 W 32nd St-at Broadway;New York;Midtown West;Korean;(212-967-0909);
Kuma Inn;Lower East Side;113 Ludlow St;New York;NY;Southeast Asian;$$;;Kuma Inn; 113 Ludlow St-between Delancey and Rivington Sts;New York;Lower East Side;Asian: Pan-Asian;(212-353-8866);
Kuruma Zushi;Midtown East;7 E 47th St, 2nd Fl;New York;NY;Sushi;$$$$$;;Kuruma Zushi;7 E 47th St -between Fifth and Madison Avessecond floor;New York;Midtown East;Japanese;(212-317-2802);
Kyo Ya;East Village;94 E 7th St;New York;NY;Japanese;$$$$;;Kyo Ya; 94 E 7th St-between First Ave and Ave A;New York;East Village;Japanese;(212-982-4140);
La Goulue;Upper East Side;746 Madison Ave;New York;NY;French;$$$;;La Goulue; 746 Madison Ave-between 64th and 65th Sts;New York;Upper East Side;French;(212-988-8169);
La Grenouille;Midtown East;3 E 52nd St;New York;NY;French;$$$$;;La Grenouille; 3 E 52nd St-between Fifth and Madison Aves;New York;Midtown East;French;(212-752-1495);
La Paella;East Village;214 E Ninth St;New York;NY;Spanish;$$;;La Paella; 214 E 9th St-between Second and Third Aves;New York;East Village;Spanish;(212-598-4321);
La Palapa;East Village;;;;;;;La Palapa; 77 St. Marks Pl-between First and Second Aves;New York;East Village;Mexican;(212-777-2537);
La Vineria;Midtown West;;;;;;;La Vineria; 727 Ninth Ave-between 49th and 50th Sts;New York;Midtown West;Italian;(212-258-2900);
